time,open,high,low,close,Volume,Volume MA,Total common shares outstanding,Mkt сap
2011-09-15T00:00:00Z,1.452857,1.459876,1.38969,1.396708,80750,186219.3,NaN,NaN
2011-09-16T00:00:00Z,1.417764,1.445839,1.410746,1.445839,118331,174872.45,NaN,NaN
2011-09-19T00:00:00Z,1.431802,1.431802,1.368634,1.396708,85470,167611.85,NaN,NaN
2011-09-20T00:00:00Z,1.38969,1.38969,1.375652,1.375652,74774,165409.3,NaN,NaN
2011-09-21T00:00:00Z,1.375652,1.38969,1.375652,1.382671,102783,166443.05,NaN,NaN
2011-09-22T00:00:00Z,1.375652,1.375652,1.358106,1.358106,39970,167114.3,NaN,NaN
2011-09-23T00:00:00Z,1.330031,1.330031,1.298447,1.326522,222639,175026.15,NaN,NaN
2011-09-26T00:00:00Z,1.326522,1.326522,1.308975,1.308975,126270,178880.3,NaN,NaN
2011-09-27T00:00:00Z,1.312485,1.319503,1.308975,1.312485,188396,185018.75,NaN,NaN
2011-09-28T00:00:00Z,1.312485,1.333541,1.305466,1.333541,152661,190661.1,NaN,NaN
2011-09-29T00:00:00Z,1.333541,1.333541,1.312485,1.312485,132593,153153.3,NaN,NaN
2011-09-30T00:00:00Z,1.326522,1.330031,1.323013,1.330031,61507,152994.65,NaN,NaN
2011-10-02T23:00:00Z,1.326522,1.333541,1.323013,1.333541,81009,155843.25,NaN,NaN
2011-10-03T23:00:00Z,1.323013,1.333541,1.323013,1.333541,124942,159749.3,NaN,NaN
2011-10-04T23:00:00Z,1.326522,1.368634,1.326522,1.354596,10719,127038.15,NaN,NaN
2011-10-05T23:00:00Z,1.354596,1.43882,1.354596,1.417764,268308,138746.75,NaN,NaN
2011-10-06T23:00:00Z,1.431802,1.459876,1.417764,1.452857,162773,144414.55,NaN,NaN
2011-10-09T23:00:00Z,1.452857,1.523044,1.452857,1.509007,256660,146772.45,NaN,NaN
2011-10-10T23:00:00Z,1.5441,1.572174,1.523044,1.523044,198237,132897.25,NaN,NaN
2011-10-11T23:00:00Z,1.523044,1.551118,1.501988,1.551118,192984,134088.8,NaN,NaN
2011-10-12T23:00:00Z,1.558137,1.558137,1.530062,1.5441,74322,133767.4,NaN,NaN
2011-10-13T23:00:00Z,1.558137,1.565156,1.5441,1.565156,247635,140232.6,NaN,NaN
